Concordant	Discordant	Missing	Filtered	TP	FP	TN	FN	svtype	program	sample	technology	coverage	experiment
13373	7676	0	0	23786	5871	10429	2012	TOT	svjedi	HG002	r10	8x	ds
5816	2116	0	0	9030	1004	4620	1210	DEL	sniffles	HG002	r10	8x	ds
6837	6683	0	0	13474	4312	6736	2518	INS	sniffles	HG002	r10	8x	ds
12653	8799	0	0	22504	5316	11356	3728	TOT	sniffles	HG002	r10	8x	ds
5306	2725	0	0	8284	876	4815	2087	DEL	cutesv	HG002	r10	8x	ds
6438	6979	0	0	13012	4305	6625	2892	INS	cutesv	HG002	r10	8x	ds
11744	9704	0	0	21296	5181	11440	4979	TOT	cutesv	HG002	r10	8x	ds
6678	1294	0	0	9698	767	4891	588	DEL	orig	HG002	r10	8x	ds
7911	5371	0	0	14714	4411	6397	1042	INS	orig	HG002	r10	8x	ds
14589	6665	0	0	24412	5178	11288	1630	TOT	orig	HG002	r10	8x	ds
6637	2125	39	715	9415	1777	5852	480	DEL	kanpig	HG002	r9	8x	ts
10192	5678	104	0	14048	4545	11803	1344	INS	kanpig	HG002	r9	8x	ts
16829	7803	143	715	23463	6322	17655	1824	TOT	kanpig	HG002	r9	8x	ts
7568	1178	55	714	10819	361	5481	831	DEL	svjedi	HG002	r9	8x	ts
10280	5310	384	0	17598	726	8257	4599	INS	svjedi	HG002	r9	8x	ts
17848	6488	439	714	28417	1087	13738	5430	TOT	svjedi	HG002	r9	8x	ts
6377	2374	50	714	9842	1337	5198	1125	DEL	sniffles	HG002	r9	8x	ts
8513	7361	100	0	16039	2559	8210	4940	INS	sniffles	HG002	r9	8x	ts
14890	9735	150	714	25881	3896	13408	6065	TOT	sniffles	HG002	r9	8x	ts
5605	3196	0	714	8528	2717	5556	801	DEL	cutesv	HG002	r9	8x	ts
7193	8673	108	108	13406	5201	9213	3912	INS	cutesv	HG002	r9	8x	ts
12798	11869	108	822	21934	7918	14769	4713	TOT	cutesv	HG002	r9	8x	ts
5832	2161	0	0	8672	678	5002	1634	DEL	kanpig	HG002	r9	8x	ds
6607	6844	0	0	11837	3073	7912	4080	INS	kanpig	HG002	r9	8x	ds
12439	9005	0	0	20509	3751	12914	5714	TOT	kanpig	HG002	r9	8x	ds
6174	1668	0	0	9374	1006	4553	751	DEL	svjedi	HG002	r9	8x	ds
7065	5978	0	0	14023	4644	5972	1447	INS	svjedi	HG002	r9	8x	ds
13239	7646	0	0	23397	5650	10525	2198	TOT	svjedi	HG002	r9	8x	ds
5769	2177	0	0	8923	963	4686	1320	DEL	sniffles	HG002	r9	8x	ds
6614	6854	0	0	13208	4303	6696	2729	INS	sniffles	HG002	r9	8x	ds
12383	9031	0	0	22131	5266	11382	4049	TOT	sniffles	HG002	r9	8x	ds
5327	2726	0	0	8279	862	4863	2102	DEL	cutesv	HG002	r9	8x	ds
