Concordant	Discordant	Missing	Filtered	TP	FP	TN	FN	num_neigh	program	sample	technology	coverage	experiment
220	75	0	0	280	23	235	52	5	svjedi	HG002	r9	16x	ts
105	42	0	0	141	7	111	35	6	svjedi	HG002	r9	16x	ts
83	18	0	0	94	7	90	11	7	svjedi	HG002	r9	16x	ts
70	24	0	0	86	11	78	13	8	svjedi	HG002	r9	16x	ts
12	5	0	0	16	1	13	4	9	svjedi	HG002	r9	16x	ts
32	14	0	0	40	6	38	8	10	svjedi	HG002	r9	16x	ts
11195	1430	0	0	15860	1169	7875	346	0	sniffles	HG002	r9	16x	ts
2516	5221	0	0	7370	833	2799	4472	1	sniffles	HG002	r9	16x	ts
905	1014	0	0	1599	530	1170	539	2	sniffles	HG002	r9	16x	ts
416	684	0	0	791	359	711	339	3	sniffles	HG002	r9	16x	ts
261	326	0	0	443	167	400	164	4	sniffles	HG002	r9	16x	ts
127	167	0	0	202	100	217	69	5	sniffles	HG002	r9	16x	ts
59	89	0	0	109	40	98	49	6	sniffles	HG002	r9	16x	ts
38	62	0	0	68	32	70	30	7	sniffles	HG002	r9	16x	ts
36	58	0	0	74	23	56	35	8	sniffles	HG002	r9	16x	ts
10	10	0	0	13	7	17	3	9	sniffles	HG002	r9	16x	ts
24	22	0	0	30	16	40	6	10	sniffles	HG002	r9	16x	ts
10481	2141	0	0	15071	1973	7801	399	0	cutesv	HG002	r9	16x	ts
2600	5136	0	0	6138	2064	3921	3349	1	cutesv	HG002	r9	16x	ts
546	1374	0	0	761	1371	1540	168	2	cutesv	HG002	r9	16x	ts
193	906	0	0	276	873	973	76	3	cutesv	HG002	r9	16x	ts
62	524	0	0	83	526	545	18	4	cutesv	HG002	r9	16x	ts
30	266	0	0	36	268	282	6	5	cutesv	HG002	r9	16x	ts
6	142	0	0	9	140	144	3	6	cutesv	HG002	r9	16x	ts
7	94	0	0	7	94	101	0	7	cutesv	HG002	r9	16x	ts
1	93	0	0	1	96	91	0	8	cutesv	HG002	r9	16x	ts
0	19	0	0	0	19	19	0	9	cutesv	HG002	r9	16x	ts
0	46	0	0	0	46	46	0	10	cutesv	HG002	r9	16x	ts
10222	2308	0	0	14604	309	7851	2296	0	kanpig	HG002	r9	16x	ds
2138	4702	0	0	5265	2933	3616	1866	1	kanpig	HG002	r9	16x	ds
459	655	0	0	722	220	793	493	2	kanpig	HG002	r9	16x	ds
145	323	0	0	257	104	349	226	3	kanpig	HG002	r9	16x	ds
68	158	0	0	101	29	189	133	4	kanpig	HG002	r9	16x	ds
23	87	0	0	33	9	97	81	5	kanpig	HG002	r9	16x	ds
